,MP,FG%,3P%,2P%,eFG%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos_C,Pos_PF,Pos_PG,Pos_SF,Pos_SG,Cluster,Player,Year,Pos,Name
79,27.1,64.3,0.0,64.5,64.5,61.2,4.3,7.1,11.5,0.8,0.7,1.3,0.8,2.2,12.2,1,0,0,0,0,1,Clint Capela,2023,C,All Stars
80,2.7,16.7,29.7,16.7,16.7,0.1,0.3,0.6,0.9,0.2,0.2,0.2,0.2,0.4,0.4,1,0,0,0,0,1,Vernon Carey Jr.,2023,C,Offensive Big Men
81,23.2,41.6,40.2,43.4,43.4,81.5,0.5,2.1,2.5,2.7,1.1,0.4,1.2,2.0,7.4,0,0,1,0,0,6,Jevon Carter,2023,PG,Key Pieces
82,30.0,52.3,35.8,60.1,60.1,77.2,2.0,6.6,8.6,2.7,0.4,0.7,2.2,3.0,15.2,1,0,0,0,0,7,Wendell Carter Jr.,2023,C,Key Pieces
84,24.5,43.9,38.7,49.0,49.0,76.0,0.6,2.4,3.0,3.3,1.7,0.7,1.3,2.5,5.6,0,0,1,0,0,0,Alex Caruso,2023,PG,Rising Stars
85,3.5,0.0,0.0,0.0,0.0,77.2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,1,0,2,Julian Champagnie,2023,SF,Defensive Big Men
86,3.7,0.1,34.55,0.1,0.1,77.2,0.3,1.0,1.3,0.3,0.0,0.0,0.0,0.3,2.0,0,0,0,1,0,2,Justin Champagnie,2023,SF,Defensive Big Men
87,9.6,39.4,14.3,46.2,46.2,45.5,0.3,1.0,1.3,2.0,0.4,0.2,0.7,0.6,2.6,0,0,1,0,0,1,Kennedy Chandler,2023,PG,Role Players
88,14.6,42.3,41.4,43.6,43.6,85.7,0.2,2.0,2.2,0.5,0.2,0.2,0.3,0.8,3.7,0,0,0,0,1,6,Max Christie,2023,SG,All Stars
89,8.4,40.9,15.2,51.9,51.9,76.2,0.3,0.8,1.1,0.7,0.2,0.2,0.8,0.6,3.5,0,0,0,0,1,8,Josh Christopher,2023,SG,Rising Stars
90,19.7,66.8,16.7,67.9,67.9,72.5,1.5,4.0,5.5,1.2,0.7,0.7,1.1,2.5,10.5,0,1,0,0,0,1,Brandon Clarke,2023,PF,All Stars
91,32.5,45.0,35.0,53.3,53.3,82.3,1.1,2.8,4.0,4.3,0.6,0.2,2.9,2.0,20.9,0,0,0,0,1,3,Jordan Clarkson,2023,SG,Bench Warmers
92,29.4,74.1,0.0,74.5,74.5,47.0,2.5,6.4,8.9,1.6,0.7,2.7,1.3,2.8,13.1,1,0,0,0,0,1,Nic Claxton,2023,C,Offensive Big Men
93,14.2,37.3,28.6,40.7,40.7,81.8,0.4,0.8,1.3,1.3,0.2,0.1,0.4,1.3,3.9,0,0,0,0,1,6,Amir Coffey,2023,SG,Defensive Big Men
94,31.6,51.3,25.9,62.9,62.9,78.4,1.2,6.5,7.7,1.3,0.7,1.2,1.3,3.4,13.5,0,1,0,0,0,7,John Collins,2023,PF,Defensive Big Men
